tileswide 32
tileshigh 32
tilewidth 32
tileheight 32

layer 0
0,0,2,3,7,11,9,9,9,7,7,7,7,7,0,8,8,8,3,7,7,6,6,7,7,7,10,10,10,1,5,9,
4,0,0,7,7,11,9,9,7,2,6,7,7,10,8,6,8,7,7,6,6,7,7,7,10,10,3,5,8,5,5,9,
4,0,7,6,9,11,0,9,6,7,7,7,5,10,8,8,6,1,1,7,7,2,7,10,4,5,5,8,8,5,5,9,
6,7,6,3,9,11,7,6,9,7,6,10,10,8,8,8,3,7,7,1,4,4,10,5,5,5,6,8,8,5,9,10,
6,4,3,11,9,11,6,3,9,10,10,10,3,8,9,11,10,10,4,4,10,10,6,5,6,6,8,8,10,4,9,10,
11,4,3,6,9,11,3,3,10,7,10,4,8,8,10,10,11,2,2,10,7,6,6,6,6,8,8,10,10,4,9,10,
0,4,1,7,9,11,10,10,9,10,4,7,10,10,9,3,11,10,10,7,6,7,11,6,5,8,10,4,10,9,9,10,
1,3,7,9,2,11,7,3,10,9,10,10,9,9,4,4,10,11,6,7,7,6,6,6,8,10,8,8,10,11,11,11,
3,7,4,10,10,11,7,7,10,10,4,8,9,9,10,10,6,11,7,7,6,6,4,1,10,11,11,11,11,9,9,10,
1,10,10,5,4,11,10,10,0,9,8,9,10,10,6,6,7,7,11,7,7,7,7,11,11,5,8,10,9,10,9,10,
10,4,9,4,10,11,3,10,1,9,10,10,9,6,3,7,7,7,11,5,11,11,11,6,8,6,8,11,10,10,10,10,
7,5,10,10,7,11,10,6,10,10,9,9,9,7,7,6,7,6,11,11,10,6,8,8,7,8,11,11,10,10,10,10,
1,10,7,7,3,11,10,10,8,9,9,9,9,7,7,11,11,11,6,11,6,8,3,8,8,11,9,11,9,10,10,10,
0,10,7,0,10,11,6,8,9,9,9,11,11,11,11,5,6,6,10,4,11,5,8,11,11,5,9,11,9,10,4,10,
6,10,7,10,10,11,6,11,11,11,11,9,8,5,6,6,10,10,4,4,11,7,11,8,4,9,11,10,9,10,10,1,
10,9,10,10,5,11,11,2,3,9,9,9,8,6,4,10,4,4,7,8,6,11,8,5,5,9,11,10,2,10,10,4,
10,10,10,11,11,9,11,6,9,8,9,9,8,4,10,4,4,7,8,6,11,11,8,5,9,9,11,11,11,11,10,4,
5,11,11,1,6,8,11,7,9,9,9,9,10,10,4,7,7,6,8,11,5,7,11,11,11,11,11,11,11,10,10,10,
10,11,11,5,8,7,7,11,9,9,9,10,9,7,7,11,11,11,11,11,11,11,11,11,11,11,10,9,10,10,10,7,
10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,7,11,11,9,11,10,9,10,10,7,4,
4,10,5,8,5,10,10,10,11,10,10,10,11,11,11,11,7,7,7,7,5,11,9,11,9,11,10,10,6,10,7,4,
2,10,8,6,6,7,4,10,9,11,11,11,9,9,11,8,3,3,7,11,11,11,11,11,11,11,10,10,7,10,1,11,
7,10,5,3,7,7,11,11,11,11,7,7,7,11,8,11,11,11,11,11,10,10,10,9,11,11,10,9,1,10,1,11,
10,8,5,11,11,11,8,9,7,7,11,11,11,11,11,11,11,10,10,3,9,6,9,3,10,11,10,0,10,10,11,11,
10,11,11,7,7,8,9,11,11,11,11,11,10,10,11,10,1,9,6,6,9,8,9,0,10,11,10,0,11,11,5,5,
11,7,7,11,11,11,11,5,5,11,10,11,11,11,8,6,6,5,9,9,8,9,0,2,11,11,11,11,10,10,5,4,
10,11,11,1,8,9,10,10,11,1,11,11,11,6,9,3,5,2,10,10,11,11,11,11,11,11,5,5,10,10,5,5,
10,1,10,10,10,10,11,11,11,11,6,8,10,11,11,10,10,10,3,11,11,11,7,8,11,10,11,6,10,6,3,8,
10,10,11,8,9,5,11,11,10,10,10,10,2,5,5,11,11,5,5,8,9,7,9,6,11,9,11,2,10,3,5,8,
11,5,5,10,10,10,10,0,8,8,0,5,5,5,5,5,5,11,11,9,7,8,6,11,9,9,2,11,10,7,8,8,
5,10,10,4,4,9,5,8,5,6,6,6,6,6,6,6,6,4,8,11,11,11,11,4,9,9,7,9,10,2,2,4,
10,0,0,5,9,9,8,6,6,5,5,5,5,5,5,5,5,9,9,8,8,8,8,5,7,9,9,2,10,0,2,4,

